title,link,pub_date,section,creator,description,content_html,image,comments,guid
李대통령 만난 조희대 대법원장 “사법제도 개편 신중히 이뤄져야”,https://www.chosun.com/politics/politics_general/2025/12/03/EVJUC2SYHVHS7ECRL4EPNWXQIM/,"Wed, 03 Dec 2025 04:49:50 +0000",정치,박상기 기자,,"<img src=""https://www.chosun.com/resizer/v2/DMK4OYNOEZNYFEB7FPICRHAGRE.jpg?auth=16cb8826828aac4a8fee789fdb28189c65b1f776a05ef5f8095fd6cd10fc3291&smart=true&width=5655&height=3754"" alt=""이재명 대통령이 3일 서울 용산 대통령실 청사에서 열린 5부 요인 초청 오찬에 참석하고 있다. 오른쪽은 조희대 대법원장./뉴시스"" height=""3754"" width=""5655""/><p>조희대 대법원장은 3일 이재명 대통령을 만나 “사법제도는 국민의 권리 보호와 사회질서 유지를 위한 중요한 기능을 수행하기 때문에 충분한 논의와 공론화 과정을 거쳐 신중하게 이루어지는 것이 바람직하다”고 말했다. 최근 여권이 추진하는 내란 전담 재판부 설치, 대법관 증원, 법원행정처 폐지 등 이른바 ‘사법 개혁’에 대한 우려를 표한 것으로 해석됐다.</p>",,,https://www.chosun.com/politics/politics_general/2025/12/03/EVJUC2SYHVHS7ECRL4EPNWXQIM/
“尹·계엄 세력과 정치적 단절” 국힘 의원 25명 고개숙여 사과,https://www.chosun.com/politics/politics_general/2025/12/03/GXRVTDIBLZEIBCDOQVS35DM344/,"Wed, 03 Dec 2025 03:04:30 +0000",정치,이해인 기자,,"<img src=""https://www.chosun.com/resizer/v2/NBMPEP2PK5JE3KPSHVUBWDQXPE.jpg?auth=93d271b4c8c82a2700afb857d3fa3eca1c9e0262f425e75c8871390108d6667a&smart=true&width=5092&height=2036"" alt=""국민의힘 이성권, 김용태 등 의원들이 3일 서울 여의도 국회 소통관에서 12.3 비상계엄 관련 입장 발표 기자회견을 열고 허리 숙여 사과하고 있다. /연합뉴스"" height=""2036"" width=""5092""/><p>국민의힘 의원 25명이 12·3 계엄 1년이 되는 3일 비상 계엄에 대해 사과하고 윤석열 전 대통령과의 정치적 단절을 약속했다. 같은 날 장동혁 국민의힘 대표가 “12·3 비상 계엄은 의회 폭거에 맞서기 위한 계엄이었다”고 하자 이와 별개로 사과문을 발표한 것이다. </p>",https://www.chosun.com/resizer/v2/G4CGEIVVBNGEPCDR2HLI2IJLXM.gif?auth=3a47291c6313e3b7b04c8e1b7dc372d2d71fd6981d00d3393bc12a2392f81f6a&smart=true&width=800&height=450,,https://www.chosun.com/politics/politics_general/2025/12/03/GXRVTDIBLZEIBCDOQVS35DM344/
이 대통령 “야당 발언 들으면 ‘저게 말이 되는 소리야?’ 싶을 때가 있다”,https://www.chosun.com/politics/politics_general/2025/12/03/I4WBQ5IWN5AJZC3SKDQDF3AJZI/,"Wed, 03 Dec 2025 02:37:50 +0000",정치,김태준 기자,,"<img src=""https://www.chosun.com/resizer/v2/MM4WIMRSHEYDCNJXMI2TOODFME.jpg?auth=5978f23f31cfc1177caadfabaca076d810143ecc624ffc03806bd167ab7a6ef0&smart=true&width=4563&height=3207"" alt=""이재명 대통령이 3일 서울 용산 대통령실 청사에서 ‘빛의 혁명 1주년, 대통령 대국민 특별성명’을 발표한 뒤 취재진 질문에 답하고 있다./뉴스1"" height=""3207"" width=""4563""/><p>이재명 대통령이 3일 진행한 외신 기자회견에서 거대 양당 체제의 한계를 인정하면서도 “화가 나더라도 대화와 타협을 포기하지 않겠다”고 했다.</p>",https://www.chosun.com/resizer/v2/UNXFM5REDVMFXOJC6WLUMDKGDM.jpg?auth=258d92ecf92e4d36f7de88288bdeadde12fab1773ee4a4cfdc77f754708e118a&smart=true&width=4172&height=2734,,https://www.chosun.com/politics/politics_general/2025/12/03/I4WBQ5IWN5AJZC3SKDQDF3AJZI/
법사위서 ‘장경태 성추행 의혹’ 설전… “부끄러운 줄 알라” vs “허위 조작 보도”,https://www.chosun.com/politics/politics_general/2025/12/03/6NPC3S7F2VAUPNJLFSNEMK5RLM/,"Wed, 03 Dec 2025 04:35:33 +0000",정치,권순완 기자,,"<img src=""https://www.chosun.com/resizer/v2/VMJ24SX4OVJNNG66U45DM3J7ZI.jpg?auth=ca9555e262c1fdf12a6e8bb4c8d4608aaabca7f7dd7f5b1412af22bbafd32a51&smart=true&width=3384&height=2257"" alt=""더불어민주당 장경태 의원이 3일 서울 여의도 국회에서 열린 법제사법위원회 전체회의에서 성추행 의혹과 관련해 이해충돌을 이유로 법사위 퇴장을 요구하는 국민의힘 신동욱 의원의 발언에 항의하고 있다. /연합뉴스"" height=""2257"" width=""3384""/><p>여야는 3일 국회 법제사법위원회 회의에서 법사위원인 더불어민주당 장경태 의원의 ‘성추행 의혹’을 놓고 공방을 벌였다.</p>",https://www.chosun.com/resizer/v2/VMJ24SX4OVJNNG66U45DM3J7ZI.jpg?auth=ca9555e262c1fdf12a6e8bb4c8d4608aaabca7f7dd7f5b1412af22bbafd32a51&smart=true&width=3384&height=2257,,https://www.chosun.com/politics/politics_general/2025/12/03/6NPC3S7F2VAUPNJLFSNEMK5RLM/
압축파일로 온 국세 고지서... 北 김수키 연계 추정 악성코드,https://www.chosun.com/politics/north_korea/2025/12/03/HIIKJRUR2ZBSPDY3ASKYWKHTRI/,"Wed, 03 Dec 2025 05:32:18 +0000",정치,박선민 기자,,"<img src=""https://www.chosun.com/resizer/v2/N7Z3KGPS7JCQPCI277GJO27CHQ.png?auth=3282ad68b0b7a91c109f2c61c9d28793b1c70d113956f1b28b2edd59cf26819b&smart=true&width=843&height=693"" alt=""국세 고지서 위장 파일. /이스트시큐리티"" height=""693"" width=""843""/><p>북한 정찰총국 산하 해킹 그룹 김수키(Kimsuky)와 연관된 것으로 추정되는 KimJongRAT 악성코드가 국세 고지서 파일로 위장해 유포되고 있다. 국세 고지서로 위장된 파일을 실행하면 악성 파일이 다운로드돼 사용자 정보를 탈취하는 수법이다.</p>",,,https://www.chosun.com/politics/north_korea/2025/12/03/HIIKJRUR2ZBSPDY3ASKYWKHTRI/
野 잇따라 계엄 사과... 유용원 “軍장병·국민께 깊은 상처” 권영세 “결코 해선 안될 선택”,https://www.chosun.com/politics/assembly/2025/12/03/BK5VARIF4JAPNLFEOFFCKFSSRI/,"Wed, 03 Dec 2025 06:14:59 +0000",정치,이세영 기자,,"<p>국민의힘 의원들 다수는 계엄 1년이 되는 3일 계엄 사태에 대해 국민들에게 사과했다. 윤석열 정부 당시 여당 의원으로서 계엄을 사전에 예방하지 못했고, 계엄이 국민들에게 피해를 끼쳤다는 데 책임을 같이 한 것이다. 국민의힘 의원 25명이 이날 오전 국회에서 기자회견을 열고 대국민 사과를 한 데 이어 다른 의원들의 사과도 개별적으로 속속 이어지고 있다.</p><img src=""https://www.chosun.com/resizer/v2/F3OXHIQUJZMG5B5GKE75C74VTM.jpg?auth=0e231e295be2d0764280cf86196436cef5eb063767a644d16e6587c23b20ebc4&smart=true&width=4872&height=3384"" alt=""유용원 국민의힘 의원/뉴시스"" height=""3384"" width=""4872""/>",,,https://www.chosun.com/politics/assembly/2025/12/03/BK5VARIF4JAPNLFEOFFCKFSSRI/
"李대통령, 계엄 수사·처벌은 “몸속 깊이박힌 치명적 암 치료하는 것”",https://www.chosun.com/politics/politics_general/2025/12/03/H6JOJSKSXNBQJNJDNCMRYJYGUI/,"Wed, 03 Dec 2025 00:39:03 +0000",정치,박상기 기자,,"<img src=""https://www.chosun.com/resizer/v2/SFQAELVSENPT7MT4WT7EMR3CMA.jpg?auth=1121792da105c894c6b76f314e8399518323ddff25abd70bde3f08262a22a8b7&smart=true&width=3480&height=2376"" alt=""이재명 대통령이 12·3 비상계엄 사태 1주년인 3일 서울 용산 대통령실에서 '빛의 혁명 1주년 대국민 특별성명'을 발표하고 있다./연합뉴스"" height=""2376"" width=""3480""/><p>이재명 대통령은 3일 더불어민주당이 추진을 검토 중인 ‘2차 종합 특검’과 관련해 “국회가 (추진 여부를) 적절히 판단할 것이라 생각한다”면서도 “분명한 건 지금 현재도 밝혀지지 않은 것이 너무 많아 보인다”고 말했다.</p>",,,https://www.chosun.com/politics/politics_general/2025/12/03/H6JOJSKSXNBQJNJDNCMRYJYGUI/
"계엄 1년, 한동훈 사과 또 사과... “국민들이 ‘그만’ 할 때까지 사과해야”",https://www.chosun.com/politics/assembly/2025/12/03/MG5CAMIRGBFAPCGJO264BP6TZA/,"Wed, 03 Dec 2025 05:51:22 +0000",정치,이세영 기자,,"<p>한동훈 전 국민의힘 대표는 계엄 1년이 되는 3일 국회에서 “(작년 12월 3일 계엄 사태) 당시 여당 당대표로서 계엄을 미리 예방하지 못한 점에 대해 다시 한번 깊이 사과드린다”고 고개 숙였다. 한 전 대표는 작년 계엄 사태 당시에도 국민의힘 의원들과 계엄 해제 의결을 주도했고 사과 입장을 표명했다. 한 전 대표는 “국민들이 그만 됐다고 할 때까지 사과해야 한다”고 했다.</p><img src=""https://www.chosun.com/resizer/v2/F2PLSQJVPJO5TLVKJTD7UVSIHY.jpg?auth=8532480208cea2035ce69a5b43019d04cc0028b91ad861561207cc009f7ebc73&smart=true&width=5746&height=3802"" alt=""한동훈 국민의힘 전 대표가 3일 오후 서울 여의도 국회 경내에서 열린 12.3 비상계엄 1년 기자회견에서 고개 숙여 사과하고 있다./뉴시스"" height=""3802"" width=""5746""/>",,,https://www.chosun.com/politics/assembly/2025/12/03/MG5CAMIRGBFAPCGJO264BP6TZA/
"李대통령, 대북전단 논란에 “사과 생각있지만, 종북 몰이 걱정”",https://www.chosun.com/politics/blue_house/2025/12/03/KB3ENKLJVRA6ZCDQDXGEE7BJMI/,"Wed, 03 Dec 2025 05:23:27 +0000",정치,주희연 기자,,"<img src=""https://www.chosun.com/resizer/v2/7FNITVKTDVIEVJNB7DXH7THUNM.jpg?auth=c1f20c674cad295822fb203790e8d00e82c8d06433c89e2effe977542028b296&smart=true&width=4208&height=2805"" alt=""이재명 대통령이 3일 청와대 영빈관에서 열린  '새롭게 선 민주주의, 그 1년' 외신 기자회견에서 질문에 답변하고 있다. /뉴시스"" height=""2805"" width=""4208""/><p>이재명 대통령은 3일 윤석열 정부 당시 군이 계엄 선포의 명분을 마련하기 위해 대북 전단을 살포했다는 의혹과 관련 “(북한에) 사과해야 하지 않을까 생각하면서도, 자칫 소위 ‘종북몰이’나 정치적 이념대결의 소재가 되지 않을까 걱정이 들어서 차마 말을 못 하고 있다”고 밝혔다.</p>",,,https://www.chosun.com/politics/blue_house/2025/12/03/KB3ENKLJVRA6ZCDQDXGEE7BJMI/
"李 “우라늄 농축, 한국서 생산... 트럼프가 5대5로 동업 제안”",https://www.chosun.com/politics/politics_general/2025/12/03/UKHA75YHEZGCBOTKLRLDME3EUU/,"Wed, 03 Dec 2025 01:53:42 +0000",정치,김태준 기자,,"<img src=""https://www.chosun.com/resizer/v2/4UZHRF3Z65LRHH6TWINTPQPP3E.jpg?auth=b9f8e55238f39e641b40edb6272dcef7ab88792a640120976c187735c819c262&smart=true&width=5077&height=3377"" alt=""이재명 대통령이 3일 청와대 영빈관에서 열린 '새롭게 선 민주주의, 그 1년' 외신 기자회견에서 답변하고 있다./연합뉴스"" height=""3377"" width=""5077""/><p>이재명 대통령은 3일 외신 기자 회견에서 한국의 핵무장 가능성과 핵추진 잠수함 개발 논란에 대해 “비확산 원칙과는 무관하다”고 했다.</p>",https://www.chosun.com/resizer/v2/A5I24W35KBDN5IVZXNU3XMNZIU.gif?auth=a66f66e391f94311ccc50cf053e93b420f18193088a6e0772068094e39ca39bc&smart=true&width=500&height=281,,https://www.chosun.com/politics/politics_general/2025/12/03/UKHA75YHEZGCBOTKLRLDME3EUU/
